#      mass       lower
 2.3399e-01  2.4201e-04
 2.3419e-01  2.2209e-04
 2.3439e-01  1.9859e-04
 2.3459e-01  1.8472e-04
 2.3479e-01  1.8079e-04
 2.3499e-01  1.8492e-04
 2.3519e-01  1.9520e-04
 2.3539e-01  2.0267e-04
 2.3559e-01  2.0674e-04
 2.3580e-01  2.1183e-04
 2.3600e-01  2.2752e-04
 2.3621e-01  2.4422e-04
 2.3641e-01  2.6012e-04
 2.3662e-01  2.6277e-04
 2.3682e-01  2.5695e-04
 2.3703e-01  2.4277e-04
 2.3724e-01  2.2540e-04
 2.3745e-01  2.1174e-04
 2.3766e-01  2.1244e-04
 2.3787e-01  2.1691e-04
 2.3808e-01  2.2626e-04
 2.3829e-01  2.3288e-04
 2.3850e-01  2.4444e-04
 2.3871e-01  2.6334e-04
 2.3893e-01  2.8416e-04
 2.3914e-01  3.1034e-04
 2.3935e-01  3.2988e-04
 2.3957e-01  3.3915e-04
 2.3978e-01  3.2880e-04
 2.4000e-01  3.0628e-04
 2.4021e-01  2.7789e-04
 2.4043e-01  2.5171e-04
 2.4065e-01  2.3130e-04
 2.4087e-01  2.1697e-04
 2.4109e-01  2.0405e-04
 2.4130e-01  1.9408e-04
 2.4152e-01  1.9095e-04
 2.4175e-01  1.9120e-04
 2.4197e-01  1.9836e-04
 2.4219e-01  2.1007e-04
 2.4241e-01  2.2918e-04
 2.4263e-01  2.5234e-04
 2.4285e-01  2.6046e-04
 2.4308e-01  2.5687e-04
 2.4330e-01  2.4780e-04
 2.4353e-01  2.3980e-04
 2.4375e-01  2.3684e-04
 2.4398e-01  2.3671e-04
 2.4420e-01  2.4066e-04
 2.4443e-01  2.3889e-04
 2.4466e-01  2.4236e-04
 2.4489e-01  2.3693e-04
 2.4512e-01  2.3524e-04
 2.4535e-01  2.3180e-04
 2.4558e-01  2.2667e-04
 2.4581e-01  2.1911e-04
 2.4604e-01  2.0714e-04
 2.4627e-01  1.9383e-04
 2.4650e-01  1.8363e-04
 2.4673e-01  1.7601e-04
 2.4696e-01  1.7997e-04
 2.4720e-01  1.9096e-04
 2.4743e-01  2.1105e-04
 2.4767e-01  2.3534e-04
 2.4790e-01  2.6287e-04
 2.4814e-01  2.6680e-04
 2.4837e-01  2.5718e-04
 2.4861e-01  2.4429e-04
 2.4885e-01  2.4104e-04
 2.4908e-01  2.4316e-04
 2.4932e-01  2.3706e-04
 2.4956e-01  2.3964e-04
 2.4980e-01  2.4658e-04
 2.5004e-01  2.5687e-04
 2.5028e-01  2.8216e-04
 2.5052e-01  3.0985e-04
 2.5076e-01  3.2499e-04
 2.5100e-01  3.2027e-04
 2.5125e-01  3.0269e-04
 2.5149e-01  2.7511e-04
 2.5173e-01  2.5917e-04
 2.5197e-01  2.5176e-04
 2.5222e-01  2.3781e-04
 2.5246e-01  2.2060e-04
 2.5271e-01  2.0421e-04
 2.5295e-01  1.8900e-04
 2.5320e-01  1.8335e-04
 2.5344e-01  1.7749e-04
 2.5369e-01  1.7238e-04
 2.5393e-01  1.7321e-04
 2.5418e-01  1.7641e-04
 2.5443e-01  1.8482e-04
 2.5468e-01  1.9588e-04
 2.5493e-01  2.0178e-04
 2.5518e-01  2.0229e-04
 2.5543e-01  2.0317e-04
 2.5568e-01  2.0025e-04
 2.5593e-01  2.0030e-04
 2.5618e-01  2.0424e-04
 2.5644e-01  2.1656e-04
 2.5669e-01  2.3001e-04
 2.5694e-01  2.4498e-04
 2.5720e-01  2.4913e-04
 2.5745e-01  2.4681e-04
 2.5771e-01  2.4001e-04
 2.5796e-01  2.3294e-04
 2.5822e-01  2.2633e-04
 2.5848e-01  2.2595e-04
 2.5874e-01  2.2840e-04
 2.5899e-01  2.3299e-04
 2.5925e-01  2.3602e-04
 2.5951e-01  2.3839e-04
 2.5977e-01  2.4124e-04
 2.6003e-01  2.4221e-04
 2.6029e-01  2.4737e-04
 2.6055e-01  2.5558e-04
 2.6081e-01  2.6335e-04
 2.6107e-01  2.5910e-04
 2.6133e-01  2.4598e-04
 2.6159e-01  2.2577e-04
 2.6186e-01  2.0849e-04
 2.6212e-01  2.0050e-04
 2.6238e-01  2.0139e-04
 2.6265e-01  2.1050e-04
 2.6292e-01  2.2224e-04
 2.6318e-01  2.3751e-04
 2.6344e-01  2.4821e-04
 2.6371e-01  2.6559e-04
 2.6398e-01  2.8353e-04
 2.6424e-01  2.9899e-04
 2.6451e-01  3.1148e-04
 2.6478e-01  3.1853e-04
 2.6505e-01  3.1825e-04
 2.6532e-01  3.0510e-04
 2.6559e-01  2.8115e-04
 2.6586e-01  2.5419e-04
 2.6613e-01  2.3281e-04
 2.6640e-01  2.2229e-04
 2.6667e-01  2.2140e-04
 2.6694e-01  2.2823e-04
 2.6721e-01  2.3856e-04
 2.6749e-01  2.4141e-04
 2.6776e-01  2.3406e-04
 2.6803e-01  2.2349e-04
 2.6831e-01  2.1905e-04
 2.6858e-01  2.1588e-04
 2.6885e-01  2.1385e-04
 2.6913e-01  2.1382e-04
 2.6940e-01  2.1005e-04
 2.6968e-01  1.9653e-04
 2.6996e-01  1.9358e-04
 2.7023e-01  1.9473e-04
 2.7051e-01  1.9943e-04
 2.7079e-01  2.1014e-04
 2.7107e-01  2.2151e-04
 2.7134e-01  2.2882e-04
 2.7162e-01  2.3628e-04
 2.7190e-01  2.3806e-04
 2.7218e-01  2.3280e-04
 2.7246e-01  2.2020e-04
 2.7274e-01  2.0269e-04
 2.7302e-01  1.9053e-04
 2.7330e-01  1.9111e-04
 2.7358e-01  1.9823e-04
 2.7387e-01  2.0873e-04
 2.7415e-01  2.2224e-04
 2.7443e-01  2.3446e-04
 2.7471e-01  2.4436e-04
 2.7500e-01  2.5871e-04
 2.7528e-01  2.6867e-04
 2.7556e-01  2.9413e-04
 2.7585e-01  3.0310e-04
 2.7613e-01  3.0793e-04
 2.7642e-01  3.0320e-04
 2.7671e-01  2.8356e-04
 2.7699e-01  2.6405e-04
 2.7728e-01  2.4965e-04
 2.7756e-01  2.3803e-04
 2.7785e-01  2.2586e-04
 2.7814e-01  2.2305e-04
 2.7843e-01  2.2833e-04
 2.7871e-01  2.3258e-04
 2.7900e-01  2.3336e-04
 2.7929e-01  2.2399e-04
 2.7958e-01  2.2091e-04
 2.7987e-01  2.2607e-04
 2.8016e-01  2.3487e-04
 2.8045e-01  2.3664e-04
