#      mass       lower
 2.4551e-01  3.7610e-04
 2.4597e-01  3.6526e-04
 2.4648e-01  3.8362e-04
 2.4699e-01  3.7724e-04
 2.4750e-01  3.7646e-04
 2.4801e-01  3.7142e-04
 2.4847e-01  3.8653e-04
 2.4898e-01  3.6413e-04
 2.4948e-01  3.9278e-04
 2.4999e-01  3.9156e-04
 2.5050e-01  3.6231e-04
 2.5101e-01  3.8871e-04
 2.5147e-01  3.7427e-04
 2.5198e-01  3.8340e-04
 2.5249e-01  3.8180e-04
 2.5300e-01  3.8964e-04
 2.5351e-01  3.8091e-04
 2.5397e-01  3.7975e-04
 2.5448e-01  3.8797e-04
 2.5498e-01  3.7950e-04
 2.5549e-01  3.7507e-04
 2.5600e-01  3.8382e-04
 2.5651e-01  3.9234e-04
 2.5697e-01  3.9395e-04
 2.5748e-01  3.7176e-04
 2.5799e-01  3.7144e-04
 2.5850e-01  3.9963e-04
 2.5900e-01  3.9155e-04
 2.5947e-01  3.9123e-04
 2.5997e-01  3.9347e-04
 2.6048e-01  3.9357e-04
 2.6099e-01  3.9411e-04
 2.6150e-01  4.2657e-04
 2.6201e-01  3.8500e-04
 2.6247e-01  4.1177e-04
 2.6298e-01  4.2485e-04
 2.6349e-01  4.3525e-04
 2.6400e-01  4.0149e-04
 2.6450e-01  4.2568e-04
 2.6497e-01  4.2882e-04
 2.6547e-01  4.3864e-04
 2.6598e-01  4.2378e-04
 2.6649e-01  4.4491e-04
 2.6700e-01  4.4071e-04
 2.6751e-01  4.4159e-04
 2.6797e-01  4.6895e-04
 2.6848e-01  4.5803e-04
 2.6899e-01  4.2734e-04
 2.6950e-01  4.6840e-04
 2.7000e-01  4.6576e-04
 2.7047e-01  4.5740e-04
 2.7098e-01  4.6479e-04
 2.7148e-01  4.7804e-04
 2.7199e-01  4.9164e-04
 2.7250e-01  4.7036e-04
 2.7301e-01  4.9120e-04
 2.7347e-01  4.5412e-04
 2.7398e-01  4.9560e-04
 2.7449e-01  4.9440e-04
 2.7500e-01  5.2053e-04
 2.7551e-01  4.9503e-04
 2.7597e-01  5.2403e-04
 2.7648e-01  5.2197e-04
 2.7698e-01  5.3017e-04
 2.7749e-01  5.4052e-04
 2.7800e-01  5.2794e-04
 2.7851e-01  5.5405e-04
 2.7897e-01  5.7893e-04
 2.7948e-01  5.6758e-04
 2.7999e-01  5.8983e-04
 2.8050e-01  5.6371e-04
 2.8100e-01  6.0523e-04
 2.8147e-01  5.8632e-04
 2.8197e-01  6.2202e-04
 2.8248e-01  6.0518e-04
 2.8299e-01  5.9882e-04
 2.8350e-01  6.4010e-04
 2.8401e-01  6.4171e-04
 2.8447e-01  6.4194e-04
 2.8498e-01  6.4667e-04
 2.8549e-01  6.7199e-04
 2.8600e-01  6.6313e-04
 2.8650e-01  6.8607e-04
 2.8697e-01  6.8742e-04
 2.8747e-01  6.9214e-04
 2.8798e-01  6.9498e-04
 2.8849e-01  7.4007e-04
 2.8900e-01  7.4634e-04
 2.8951e-01  7.3848e-04
 2.8997e-01  7.5252e-04
 2.9048e-01  7.4580e-04
 2.9099e-01  7.8814e-04
 2.9150e-01  8.1143e-04
 2.9200e-01  7.8729e-04
 2.9247e-01  8.1014e-04
 2.9298e-01  8.4090e-04
 2.9348e-01  8.7952e-04
 2.9399e-01  8.5801e-04
 2.9450e-01  8.5734e-04
 2.9501e-01  9.0649e-04
 2.9547e-01  9.3482e-04
 2.9598e-01  9.6610e-04
 2.9649e-01  9.3485e-04
 2.9700e-01  9.9982e-04
 2.9750e-01  1.0210e-03
 2.9797e-01  1.0409e-03
 2.9848e-01  1.0543e-03
 2.9898e-01  1.1021e-03
 2.9949e-01  1.1024e-03
 3.0000e-01  1.1656e-03
 3.0051e-01  1.1948e-03
 3.0097e-01  1.2056e-03
 3.0148e-01  1.2866e-03
 3.0199e-01  3.7898e-02
 3.0250e-01  7.4411e-02
 3.0300e-01  1.1096e-01
 3.0347e-01  1.4751e-01
 3.0397e-01  1.8401e-01
 3.0448e-01  2.2049e-01
 3.0499e-01  2.5698e-01
 3.0550e-01  2.9336e-01
 3.0601e-01  3.2967e-01
 3.0647e-01  3.6607e-01
 3.0698e-01  1.0000e+05
